comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
39975,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1355451,Speculatively connect to websites on mousedown on an awesomebar item,speculatively connect to websites on mousedown on an awesomebar item,0,M
15502,106074,Helper App Management,helper app management,1501304,Add telemetry for CFR opt-out controls,add telemetry for cfr opt out controls,0,M
14980,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1360040,Add test for restriction characters,add test for restriction characters,0,M
15873,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1446164,Use Fluent in autofill edit dialogs so they can be localized when used in the unprivileged PaymentRequest dialog,use fluent in autofill edit dialogs so they can be localized when used in the unprivileged paymentrequest dialog,0,M
44106,106074,Helper App Management,helper app management,1388029,Remove remaining mentions of AREA_PANEL from the tree,remove remaining mentions of area panel from the tree,0,M
19553,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1355923,[UX] Save to Pocket should have an associated animation, ux  save to pocket should have an associated animation,0,M
42859,115041,support %u in mailcap helpers,support  u in mailcap helpers,1570481,Choose set of 3 First Run triplet cards to show up,choose set of 3 first run triplet cards to show up,0,M
16829,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1471350,"Add ""Top Frecent Sites"" to AS Router targeting",add  top frecent sites  to as router targeting,0,M
54564,106074,Helper App Management,helper app management,1487156,Track impressions for frequency capping in CFR,track impressions for frequency capping in cfr,0,M
21647,106074,Helper App Management,helper app management,1420761,Handle new localization API in Preferences Search,handle new localization api in preferences search,0,M
6876,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,289176,Add sound events to Firefox.,add sound events to firefox ,0,M
28646,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1371294,Add some tests for the follow-on search add-on in mozilla-central,add some tests for the follow on search add on in mozilla central,0,M
48253,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1369751,Initializing browser-sidebar.js is visible in startup profiles before first paint,initializing browser sidebar js is visible in startup profiles before first paint,0,M
10203,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1557840,[CFR] Recommendation Request: Social Tracking Protection, cfr  recommendation request  social tracking protection,0,M
56389,106074,Helper App Management,helper app management,400120,"Add statically-updated, per-tab CPU and RAM monitor",add statically updated  per tab cpu and ram monitor,0,M
39896,106074,Helper App Management,helper app management,1372309,Flip photon structure pref on nightly to get automated test coverage as well as nightly visibility / user testing exposure,flip photon structure pref on nightly to get automated test coverage as well as nightly visibility   user testing exposure,0,M
20299,106074,Helper App Management,helper app management,1514006,Implement telemetry for pocket + newtab,implement telemetry for pocket   newtab,0,M
22509,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,764763,Sync pinned tabs (app tabs),sync pinned tabs  app tabs ,0,M
2307,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1485437,Reverse Bucketing for CFR telemetry in Release channel,reverse bucketing for cfr telemetry in release channel,0,M
25113,106074,Helper App Management,helper app management,1517306,Switch CFR messages pref to remote settings,switch cfr messages pref to remote settings,0,M
23045,106074,Helper App Management,helper app management,1432673,gSnippetsMap parity in ASRouter,gsnippetsmap parity in asrouter,0,M
21169,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1354697,Creating funnelcake builds for Tour Overlay,creating funnelcake builds for tour overlay,0,M
799,106074,Helper App Management,helper app management,1546768,Design fixes for Special FXA snippet,design fixes for special fxa snippet,0,M
3604,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1445188,Move SiteData tests into their own subdirectory,move sitedata tests into their own subdirectory,0,M
14504,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1530359,Handle URL redirects for CFR triggers,handle url redirects for cfr triggers,0,M
26548,115041,support %u in mailcap helpers,support  u in mailcap helpers,1435882,Handle keyboard shortcuts (e.g. ESC) & focus in the Payment Request tab overlay widget,handle keyboard shortcuts  e g  esc    focus in the payment request tab overlay widget,0,M
15803,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1455310,"macOS ""Share"" > ""Reminders"" missing a link to the current page",macos  share     reminders  missing a link to the current page,0,M
41915,106074,Helper App Management,helper app management,1520362,Improve vendoring of Node dependencies used by Normandy client,improve vendoring of node dependencies used by normandy client,0,M
19941,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1355460,Speculatively connect to bookmarked sites on mousedown,speculatively connect to bookmarked sites on mousedown,0,M
35979,106074,Helper App Management,helper app management,1471327,Stop touching `content` in browser/base/content/content.js,stop touching  content  in browser base content content js,0,M
17632,106074,Helper App Management,helper app management,1543108,Land a new provider for CFR FxA messages,land a new provider for cfr fxa messages,0,M
17088,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1401846,Fix the race condition between tabbrowser and tabbox constructors,fix the race condition between tabbrowser and tabbox constructors,0,M
27408,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1415014,Move mozicon128.png from browser/icons to browser/chrome/icons/default,move mozicon128 png from browser icons to browser chrome icons default,0,M
34039,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1355323,"Create action menu panel with initial ""copy URL"" and ""email link"" items",create action menu panel with initial  copy url  and  email link  items,0,M
40511,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1448971,"Replace ""when Firefox starts"" section in about:preferences#general with checkbox",replace  when firefox starts  section in about preferences general with checkbox,0,M
21283,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1387697,UITour won't highlight pocket correctly anymore now that it's moved to the page action menu,uitour won t highlight pocket correctly anymore now that it s moved to the page action menu,0,M
823,106074,Helper App Management,helper app management,1472197,Security Review: Return-to-AMO,security review  return to amo,0,M
4055,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1354128,Add 'Web Developer' button to static hamburger menu,add  web developer  button to static hamburger menu,0,M
33518,115041,support %u in mailcap helpers,support  u in mailcap helpers,1488636,Add a test for the triggering principal fallback case,add a test for the triggering principal fallback case,0,M
44586,115041,support %u in mailcap helpers,support  u in mailcap helpers,1502920,Add search shortcuts for bookmarks and open tabs,add search shortcuts for bookmarks and open tabs,0,M
9678,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1425611,[meta] Move/expose Cu.import to/on ChromeUtils or similar webidl machinery and rewrite chrome JS to use that instead, meta  move expose cu import to on chromeutils or similar webidl machinery and rewrite chrome js to use that instead,0,M
30098,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1353434,[ux] New download animation for photon + SVG assets, ux  new download animation for photon   svg assets,0,M
56684,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1410832,"Add automated test for ""Top Sites - Context menu - Pin item""",add automated test for  top sites   context menu   pin item ,0,M
47016,115041,support %u in mailcap helpers,support  u in mailcap helpers,1531104,Improve developer experience to avoid regressing visual components with many variations,improve developer experience to avoid regressing visual components with many variations,0,M
15006,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1520568,Add 1/3 and 2/3 layouts for CardGrid component,add 1 3 and 2 3 layouts for cardgrid component,0,M
44382,106074,Helper App Management,helper app management,1423137,"Add automated test for ""Bookmarks can be removed from the Library""",add automated test for  bookmarks can be removed from the library ,0,M
16172,115041,support %u in mailcap helpers,support  u in mailcap helpers,1457234,Add link to about:preferences#home under startup prefs section,add link to about preferences home under startup prefs section,0,M
951,106074,Helper App Management,helper app management,1492712,Security design of dweb APIs,security design of dweb apis,0,M
43018,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1454745,Skeletal bootstrap process,skeletal bootstrap process,0,M
41251,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1493705,Provide a UI to manage installed dictionaries,provide a ui to manage installed dictionaries,0,M
21691,115041,support %u in mailcap helpers,support  u in mailcap helpers,1433213,Allow pinning the current page to new tab from page action menu,allow pinning the current page to new tab from page action menu,0,M
46143,106074,Helper App Management,helper app management,1401346,Move browser/base/content/illustrations to browser/themes/shared,move browser base content illustrations to browser themes shared,0,M
18161,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1370331,[ux] SVG asset and spec for new page loading indicator, ux  svg asset and spec for new page loading indicator,0,M
20642,115041,support %u in mailcap helpers,support  u in mailcap helpers,1478750,Add test coverage for closing one payment dialog and completing payment from another,add test coverage for closing one payment dialog and completing payment from another,0,M
22886,106074,Helper App Management,helper app management,1477674,Write support documentation about the live bookmarks removal,write support documentation about the live bookmarks removal,0,M
38125,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1356479,"[User Story] [Overlay] [Tour Experiment] As a user, I want to learn what I can do with ""Add-ons""", user story   overlay   tour experiment  as a user  i want to learn what i can do with  add ons ,0,M
9139,106074,Helper App Management,helper app management,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches, meta  tracking  add full text indexing to bookmark and or history searches,0,M
46738,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1407927,The 'star drop' animation should be applied to the 'bookmarks menu button' instead of or in addition to the 'library button' if 'bookmarks menu button' is added to the toolbar,the  star drop  animation should be applied to the  bookmarks menu button  instead of or in addition to the  library button  if  bookmarks menu button  is added to the toolbar,0,M
42510,115041,support %u in mailcap helpers,support  u in mailcap helpers,1433240,Add message center notification preferences,add message center notification preferences,0,M
28422,106074,Helper App Management,helper app management,1360282,Remove the panel that opens when clicking on the sidebar toolbar button,remove the panel that opens when clicking on the sidebar toolbar button,0,M
28303,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1507624,Update outline to match the address bar,update outline to match the address bar,0,M
53706,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1383758,Opening the bookmarks menu can be slow,opening the bookmarks menu can be slow,0,M
42342,106074,Helper App Management,helper app management,1472212,Set browser.tabs.remote.separatePrivilegedContentProcess to true by default in Nightly,set browser tabs remote separateprivilegedcontentprocess to true by default in nightly,0,M
6918,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1354533,Update the 'History' view in the Library for photon,update the  history  view in the library for photon,0,M
7621,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1367450,Captive portal detection shouldn't block first paint,captive portal detection shouldn t block first paint,0,M
26071,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1458022,Implement ability to close a selection of tabs,implement ability to close a selection of tabs,0,M
24725,106074,Helper App Management,helper app management,1356684,Add test for ToolbarIconColor to check window activation/deactivation doesnt cause a sync style flush,add test for toolbariconcolor to check window activation deactivation doesnt cause a sync style flush,0,M
52754,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1482484,Too many pinned links causes RangeError: invalid array length,too many pinned links causes rangeerror  invalid array length,0,M
33110,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",synced tabs  bookmarks  and history entries don t have a favicon until the user re visits that page again,0,M
27090,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1500489,Translate fallback string in ASR Snippets,translate fallback string in asr snippets,0,M
11037,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,939528,Browse windows and tabs in AppleScript,browse windows and tabs in applescript,0,M
51511,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1385453,"Make it possible for async tab switcher to ""warm up"" tabs that are likely to be displayed soon",make it possible for async tab switcher to  warm up  tabs that are likely to be displayed soon,0,M
45030,115041,support %u in mailcap helpers,support  u in mailcap helpers,1540637,Don't save persistent certificate exceptions in private browsing windows,don t save persistent certificate exceptions in private browsing windows,0,M
23415,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1369539,FxAccounts modules loaded too early at startup,fxaccounts modules loaded too early at startup,0,M
43874,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1487783,Create a basic directory & format for the new components of the address bar rewrite,create a basic directory   format for the new components of the address bar rewrite,0,M
7241,106074,Helper App Management,helper app management,1353013,Kick off preloading about:newtab at a better time,kick off preloading about newtab at a better time,0,M
40449,115041,support %u in mailcap helpers,support  u in mailcap helpers,1549802,Update card button actions with final finalized urls or actions,update card button actions with final finalized urls or actions,0,M
39767,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1354097,Add footer to overflow panel that opens customize mode,add footer to overflow panel that opens customize mode,0,M
14932,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1462470,Update Tracking Protection section in the identity popup,update tracking protection section in the identity popup,0,M
24629,106074,Helper App Management,helper app management,906076,[meta] Virtual tabs - lazily create linkedBrowser and other dependent elements for tabbrowser tabs to improve startup performance, meta  virtual tabs   lazily create linkedbrowser and other dependent elements for tabbrowser tabs to improve startup performance,0,M
11275,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1546898,Add a Bookmarking FxA local provider for testing,add a bookmarking fxa local provider for testing,0,M
32866,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1440777,Add support for local actions and implement console-log as a local action,add support for local actions and implement console log as a local action,0,M
10168,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1557494,Domain affinity lists can be edited by ad operations,domain affinity lists can be edited by ad operations,0,M
16904,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1575360,Add shadow effect to megabar when it's open,add shadow effect to megabar when it s open,0,M
5892,106074,Helper App Management,helper app management,1473772,Use Fluent for the PaymentRequest dialog,use fluent for the paymentrequest dialog,0,M
23341,106074,Helper App Management,helper app management,1474704,Enable the multiselect tabs feature by default on Nightly builds,enable the multiselect tabs feature by default on nightly builds,0,M
26340,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1371230,Stop using the :not(:target) selector in notification-icons.svg,stop using the  not  target  selector in notification icons svg,0,M
46009,106074,Helper App Management,helper app management,1432943,Support debit cards in about:preferences,support debit cards in about preferences,0,M
45547,115041,support %u in mailcap helpers,support  u in mailcap helpers,1472910,"In a multiselect context, close other tabs should close all except the multi-selected tabs.",in a multiselect context  close other tabs should close all except the multi selected tabs ,0,M
11586,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1454745,Skeletal bootstrap process,skeletal bootstrap process,0,M
6407,106074,Helper App Management,helper app management,1506287,Check changed flags when merging child lists for local and remote nodes,check changed flags when merging child lists for local and remote nodes,0,M
36152,106074,Helper App Management,helper app management,1544574,Simplify the SPOC impression handling in DiscoveryStreamFeed,simplify the spoc impression handling in discoverystreamfeed,0,M
24572,106074,Helper App Management,helper app management,1379174,"When closing multiple tabs, the PermitUnload message should be sent to each tab in parallel",when closing multiple tabs  the permitunload message should be sent to each tab in parallel,0,M
2810,106074,Helper App Management,helper app management,1499885,AsyncTabSwitcher shouldn't fire TabSwitchDone for tab warmups,asynctabswitcher shouldn t fire tabswitchdone for tab warmups,0,M
48704,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1382243,Reduce nesting and ensure proper cleanup of nodes used in photon panelmultiview transition code,reduce nesting and ensure proper cleanup of nodes used in photon panelmultiview transition code,0,M
11753,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1501750,[META] AS Router Debbugging, meta  as router debbugging,0,M
47651,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1454745,Skeletal bootstrap process,skeletal bootstrap process,0,M
39254,106074,Helper App Management,helper app management,1497996,"Persist Activity Stream DOM content to disk at shutdown, and load that cache on start-up",persist activity stream dom content to disk at shutdown  and load that cache on start up,0,M
321,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1554600,Consider more aggressive Tab unloading in ASan Nightly builds,consider more aggressive tab unloading in asan nightly builds,0,M
46059,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1559689,Allow history highlights that happen to be bookmarked to appear in normal chronological history order,allow history highlights that happen to be bookmarked to appear in normal chronological history order,0,M
11289,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1357668,[UX] The UX specs for the onBoarding tour notifications, ux  the ux specs for the onboarding tour notifications,0,M
4850,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1491252,Port URL overflow handling from urlbarBindings.xml to UrlbarInput.jsm,port url overflow handling from urlbarbindings xml to urlbarinput jsm,0,M
16076,115041,support %u in mailcap helpers,support  u in mailcap helpers,1516329,[meta] Sync full history from all devices, meta  sync full history from all devices,0,M
42518,106074,Helper App Management,helper app management,1501304,Add telemetry for CFR opt-out controls,add telemetry for cfr opt out controls,0,M
18423,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1354175,Remove access to AppCache in insecure contexts,remove access to appcache in insecure contexts,0,M
34263,106074,Helper App Management,helper app management,1552333,Expose failedCertChain info from nsITransportSecurityInfo in content for about:certerror use,expose failedcertchain info from nsitransportsecurityinfo in content for about certerror use,0,M
14510,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1512650,Allow overriding actions like Switch to tab,allow overriding actions like switch to tab,0,M
56267,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,674371,Support double-tap to zoom in on a section on macOS,support double tap to zoom in on a section on macos,0,M
51422,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1528978,Use content pref service to persist warned hosts,use content pref service to persist warned hosts,0,M
17695,106074,Helper App Management,helper app management,486262,Provide visual indicator as to which tab is causing sound,provide visual indicator as to which tab is causing sound,0,M
44581,106074,Helper App Management,helper app management,1521702,Hook up autofill with URL canonization,hook up autofill with url canonization,0,M
26501,106074,Helper App Management,helper app management,1559143,"Update checkbox UI for ""Recommended by Pocket"" and ""Sponsored Stories""",update checkbox ui for  recommended by pocket  and  sponsored stories ,0,M
10253,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1493628,BrowserWindowTracker assumes Browser:Init messages only ever come from foreground windows,browserwindowtracker assumes browser init messages only ever come from foreground windows,0,M
25918,106074,Helper App Management,helper app management,1458066,Implement ability to move a selection of tabs within the same window through drag and drop,implement ability to move a selection of tabs within the same window through drag and drop,0,M
42515,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,853678,"Create an easy way to ""Undo"" a Reset",create an easy way to  undo  a reset,0,M
2180,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1410888,"Add automated test for ""Top Sites - Context menu - User tiles - Open in a New Private Window""",add automated test for  top sites   context menu   user tiles   open in a new private window ,0,M
6778,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1354144,Allow basic keyboard navigation in panelmultiview subviews,allow basic keyboard navigation in panelmultiview subviews,0,M
30843,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1486529,Add support for doorhanger testing via asrouter admin panel,add support for doorhanger testing via asrouter admin panel,0,M
41280,115041,support %u in mailcap helpers,support  u in mailcap helpers,1492549,Enable blocking access to storage from tracking resources by default on all desktop platforms,enable blocking access to storage from tracking resources by default on all desktop platforms,0,M
22256,106074,Helper App Management,helper app management,1500489,Translate fallback string in ASR Snippets,translate fallback string in asr snippets,0,M
44254,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1411606,Make controlcenter/tracking-protection.svg and controlcenter/permissions.svg use context-fill,make controlcenter tracking protection svg and controlcenter permissions svg use context fill,0,M
48992,106074,Helper App Management,helper app management,1490810,Simulate Fission for browser actors by blocking them from receiving subframe events,simulate fission for browser actors by blocking them from receiving subframe events,0,M
53296,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1433231,Add synced tabs to Highlights,add synced tabs to highlights,0,M
55324,106074,Helper App Management,helper app management,342916,Index full text of pages as they are bookmarked,index full text of pages as they are bookmarked,0,M
24834,106074,Helper App Management,helper app management,1361294,"show ""import from other browser"" link on Activity Stream",show  import from other browser  link on activity stream,0,M
6608,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1514164,Identify tests failing with the Quantum Bar,identify tests failing with the quantum bar,0,M
34191,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1504062,dom/html/test/test_fullscreen_api.html frequently times out on linux opt/pgo after bug 1362774,dom html test test fullscreen api html frequently times out on linux opt pgo after bug 1362774,0,M
