comboId,req1Id,req1,req_1,req2Id,req2,req_2,Label,AnnotationStatus
55740,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1386454,Firefox onboarding notification icon for add-ons (with puzzle-piece & gray shapes) looks corrupted & hard to identify,firefox onboarding notification icon for add ons  with puzzle piece   gray shapes  looks corrupted   hard to identify,0,M
40346,106074,Helper App Management,helper app management,500052,Sync DOM storage,sync dom storage,0,M
7560,106074,Helper App Management,helper app management,1538424,Add page title to about:library,add page title to about library,0,M
45699,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1457988,XPCOMUtils.defineLazyProxy (was: lazy listeners for the content process),xpcomutils definelazyproxy  was  lazy listeners for the content process ,0,M
2503,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1547062,Telemetry and branch generation for trailhead first run,telemetry and branch generation for trailhead first run,0,M
40880,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,225680,Ability to detach/tear off tabs (Open a tab in a new window),ability to detach tear off tabs  open a tab in a new window ,0,M
14892,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1410398,"Add automated test for ""Top Stories - Context menu - Open in a New Private Window""",add automated test for  top stories   context menu   open in a new private window ,0,M
51758,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1505311,Stop overriding --toolbarbutton-icon-fill-opacity for Dark and Light themes,stop overriding   toolbarbutton icon fill opacity for dark and light themes,0,M
56304,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1404890,Move new tab settings for sections to about:preferences,move new tab settings for sections to about preferences,0,M
6407,106074,Helper App Management,helper app management,1506287,Check changed flags when merging child lists for local and remote nodes,check changed flags when merging child lists for local and remote nodes,0,M
18080,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,468535,"Option to disable page ""tearing"" (3.1b2)",option to disable page  tearing   3 1b2 ,0,M
13895,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1352119,Implement new tab loading/progress indicator animation,implement new tab loading progress indicator animation,0,M
35075,106074,Helper App Management,helper app management,1438375,"Refactor ""extensionControlled"" Preferences code to use Fluent",refactor  extensioncontrolled  preferences code to use fluent,0,M
47320,106074,Helper App Management,helper app management,1560513,Handle errors properly in about:certificate,handle errors properly in about certificate,0,M
53296,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1433231,Add synced tabs to Highlights,add synced tabs to highlights,0,M
39034,115041,support %u in mailcap helpers,support  u in mailcap helpers,470699,Sync site permissions (nsIPermissionManager),sync site permissions  nsipermissionmanager ,0,M
38846,106074,Helper App Management,helper app management,1521888,"add padding between ds-list-item-text and the image to the right, as per spec",add padding between ds list item text and the image to the right  as per spec,0,M
4886,106074,Helper App Management,helper app management,1514806,Improve full installer file extraction performance on AArch64,improve full installer file extraction performance on aarch64,0,M
22161,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1364070,Add performance settings section into the old organization,add performance settings section into the old organization,0,M
51247,106074,Helper App Management,helper app management,1486648,Implement telemetry policy for AS Router,implement telemetry policy for as router,0,M
24159,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1548478,Fluent warnings about missing strings,fluent warnings about missing strings,0,M
26501,106074,Helper App Management,helper app management,1559143,"Update checkbox UI for ""Recommended by Pocket"" and ""Sponsored Stories""",update checkbox ui for  recommended by pocket  and  sponsored stories ,0,M
32986,106074,Helper App Management,helper app management,1513312,update pref-based-cohorting code to match feedback API,update pref based cohorting code to match feedback api,0,M
53277,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1511156,windows attribution data is double encoded,windows attribution data is double encoded,0,M
1275,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,648683,Expose tabs on-demand preference,expose tabs on demand preference,0,M
10677,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1353434,[ux] New download animation for photon + SVG assets, ux  new download animation for photon   svg assets,0,M
22166,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1410434,"Add automated test for ""New Tab Preferences - Top Sites - Enable Show tow rows""",add automated test for  new tab preferences   top sites   enable show tow rows ,0,M
7781,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1510321,Stop creating a list of nodes in the DOM for builtin areas in CustomizableUI,stop creating a list of nodes in the dom for builtin areas in customizableui,0,M
3604,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1445188,Move SiteData tests into their own subdirectory,move sitedata tests into their own subdirectory,0,M
11488,106074,Helper App Management,helper app management,1428472,"Default to the selected shipping address (if applicable) on the ""add basic card"" screen",default to the selected shipping address  if applicable  on the  add basic card  screen,0,M
45030,115041,support %u in mailcap helpers,support  u in mailcap helpers,1540637,Don't save persistent certificate exceptions in private browsing windows,don t save persistent certificate exceptions in private browsing windows,0,M
20136,106074,Helper App Management,helper app management,1460208,Add learn more link to autoplay media,add learn more link to autoplay media,0,M
24554,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1520362,Improve vendoring of Node dependencies used by Normandy client,improve vendoring of node dependencies used by normandy client,0,M
48038,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1355909,Switching between tabs should use the photon animation design,switching between tabs should use the photon animation design,0,M
19941,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1355460,Speculatively connect to bookmarked sites on mousedown,speculatively connect to bookmarked sites on mousedown,0,M
1530,106074,Helper App Management,helper app management,1444886,"When closing a tab, select the next tab at the same time as the closed tab disappears",when closing a tab  select the next tab at the same time as the closed tab disappears,0,M
43750,106074,Helper App Management,helper app management,1573204,Discovery Stream pocket stories add one more line to text content,discovery stream pocket stories add one more line to text content,0,M
23684,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1563365,Test new wording in first run experience around Monitor,test new wording in first run experience around monitor,0,M
47421,106074,Helper App Management,helper app management,1561894,Implement simplified one-off search button design,implement simplified one off search button design,0,M
11882,115041,support %u in mailcap helpers,support  u in mailcap helpers,1535749,Load new tab pocket article images closer to when they might be shown,load new tab pocket article images closer to when they might be shown,0,M
47254,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1354144,Allow basic keyboard navigation in panelmultiview subviews,allow basic keyboard navigation in panelmultiview subviews,0,M
41251,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1493705,Provide a UI to manage installed dictionaries,provide a ui to manage installed dictionaries,0,M
44254,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1411606,Make controlcenter/tracking-protection.svg and controlcenter/permissions.svg use context-fill,make controlcenter tracking protection svg and controlcenter permissions svg use context fill,0,M
14879,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1395066,Breaking tab data collection into chunks,breaking tab data collection into chunks,0,M
10654,106074,Helper App Management,helper app management,1514352,"Add ""hidden focus"" functionality to URLbar",add  hidden focus  functionality to urlbar,0,M
11586,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1454745,Skeletal bootstrap process,skeletal bootstrap process,0,M
24945,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1433239,Run message center rotation / frequency experiment,run message center rotation   frequency experiment,0,M
17500,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1520262,New tab layout render feed and v1 of non spoc personalization,new tab layout render feed and v1 of non spoc personalization,0,M
1509,106074,Helper App Management,helper app management,1374230,Wrong tooltip position after resizing browser window,wrong tooltip position after resizing browser window,0,M
18540,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,534142,Sync Jetpacks,sync jetpacks,0,M
37658,106074,Helper App Management,helper app management,1523483,Remove duplicate test function test_autocomplete_enabled in test_UrlbarController_unit.js,remove duplicate test function test autocomplete enabled in test urlbarcontroller unit js,0,M
31095,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1527049,Remove ScrollerSampler.jsm (dead code),remove scrollersampler jsm  dead code ,0,M
11264,106074,Helper App Management,helper app management,1421460,The restore icon should be visible at first paint,the restore icon should be visible at first paint,0,M
19511,106074,Helper App Management,helper app management,543392,MSI Installer should be able to install multiple instances side by side,msi installer should be able to install multiple instances side by side,0,M
17088,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1401846,Fix the race condition between tabbrowser and tabbox constructors,fix the race condition between tabbrowser and tabbox constructors,0,M
16076,115041,support %u in mailcap helpers,support  u in mailcap helpers,1516329,[meta] Sync full history from all devices, meta  sync full history from all devices,0,M
39643,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1435111,"If the Payment Request dialog is too tall, vertically scroll the inner contents of the summary view",if the payment request dialog is too tall  vertically scroll the inner contents of the summary view,0,M
43660,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1382894,Toolbar animations such as the 'Save to Pocket' and 'Stop / Reload' do not work properly outside of the nav-bar,toolbar animations such as the  save to pocket  and  stop   reload  do not work properly outside of the nav bar,0,M
9449,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,263942,"Reload button should have middle click support (open same URL in new tab, clone tab)",reload button should have middle click support  open same url in new tab  clone tab ,0,M
1022,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1527940,Port one-off search button tests to QuantumBar,port one off search button tests to quantumbar,0,M
10295,106074,Helper App Management,helper app management,1381368,Should switch to AsyncPrefs.jsm from Preferences.jsm for the Onboarding tour,should switch to asyncprefs jsm from preferences jsm for the onboarding tour,0,M
56279,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1356555,[UX] about:license content and design update, ux  about license content and design update,0,M
39887,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1570754,Add delay to clearing triplets and block extended from about:welcome,add delay to clearing triplets and block extended from about welcome,0,M
55324,106074,Helper App Management,helper app management,342916,Index full text of pages as they are bookmarked,index full text of pages as they are bookmarked,0,M
41259,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1480542,Implement new overflow menu to permanently be visible,implement new overflow menu to permanently be visible,0,M
26163,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1361294,"show ""import from other browser"" link on Activity Stream",show  import from other browser  link on activity stream,0,M
35371,106074,Helper App Management,helper app management,1431368,Change from keypress to keydown per standards change,change from keypress to keydown per standards change,0,M
44889,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1353436,[ux] SVG assets for new bookmark star animation, ux  svg assets for new bookmark star animation,0,M
36520,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1432657,Add pocket card type to highlight types,add pocket card type to highlight types,0,M
55303,106074,Helper App Management,helper app management,1425494,Use mapping from user events to browsers to set load info,use mapping from user events to browsers to set load info,0,M
36727,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1483065,Add UT events for SEARCH_EDIT_ADD and SEARCH_EDIT_DELETE,add ut events for search edit add and search edit delete,0,M
50738,106074,Helper App Management,helper app management,1488978,We should probably remove the shield when a storage exception is granted,we should probably remove the shield when a storage exception is granted,0,M
51609,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1561942,Messaging System devtools support for What's New panel,messaging system devtools support for what s new panel,0,M
17695,106074,Helper App Management,helper app management,486262,Provide visual indicator as to which tab is causing sound,provide visual indicator as to which tab is causing sound,0,M
47016,115041,support %u in mailcap helpers,support  u in mailcap helpers,1531104,Improve developer experience to avoid regressing visual components with many variations,improve developer experience to avoid regressing visual components with many variations,0,M
37141,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1484037,ASR Top Sites targeting should be independent from TopSitesFeed,asr top sites targeting should be independent from topsitesfeed,0,M
24415,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1446203,Basic Payment Request Shipping Address Add/Edit page,basic payment request shipping address add edit page,0,M
11661,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1449062,Avoid requesting thumbnails if a rich icon might be found,avoid requesting thumbnails if a rich icon might be found,0,M
30020,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1417272,"The ""Send Tab to Device"" page action can be disabled in the page action menu but enabled in the urlbar",the  send tab to device  page action can be disabled in the page action menu but enabled in the urlbar,0,M
53464,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1432669,Prefetching experiment,prefetching experiment,0,M
42280,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1433217,Create Onboarding message provider,create onboarding message provider,0,M
4337,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1478545,The Enable Tracking Protection button looks disabled,the enable tracking protection button looks disabled,0,M
27514,106074,Helper App Management,helper app management,1516008,Add pocket layout code behind its own separate pref,add pocket layout code behind its own separate pref,0,M
46059,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1559689,Allow history highlights that happen to be bookmarked to appear in normal chronological history order,allow history highlights that happen to be bookmarked to appear in normal chronological history order,0,M
30823,106074,Helper App Management,helper app management,1392153,Add margin between fxa name & email and manage account shouldn't open new window,add margin between fxa name   email and manage account shouldn t open new window,0,M
55214,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1529659,Update top-level content blocking description and category descriptions to be more generic,update top level content blocking description and category descriptions to be more generic,0,M
9678,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1425611,[meta] Move/expose Cu.import to/on ChromeUtils or similar webidl machinery and rewrite chrome JS to use that instead, meta  move expose cu import to on chromeutils or similar webidl machinery and rewrite chrome js to use that instead,0,M
46143,106074,Helper App Management,helper app management,1401346,Move browser/base/content/illustrations to browser/themes/shared,move browser base content illustrations to browser themes shared,0,M
32219,115041,support %u in mailcap helpers,support  u in mailcap helpers,1575704,Update send tab menu to reflect the decoupling of FxA and Sync,update send tab menu to reflect the decoupling of fxa and sync,0,M
13014,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1358913,"[ux] error: server not found copy,  design and illustration update", ux  error  server not found copy   design and illustration update,0,M
50727,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1476616,SessionStore.setTabState should serialize principals,sessionstore settabstate should serialize principals,0,M
14932,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1462470,Update Tracking Protection section in the identity popup,update tracking protection section in the identity popup,0,M
16172,115041,support %u in mailcap helpers,support  u in mailcap helpers,1457234,Add link to about:preferences#home under startup prefs section,add link to about preferences home under startup prefs section,0,M
18984,106074,Helper App Management,helper app management,1568692,Show a page like what's new on startup once but not dependent on major version bump,show a page like what s new on startup once but not dependent on major version bump,0,M
56159,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1474130,Convert content-sessionStore to C++ - stage I,convert content sessionstore to c     stage i,0,M
30098,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1353434,[ux] New download animation for photon + SVG assets, ux  new download animation for photon   svg assets,0,M
38125,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1356479,"[User Story] [Overlay] [Tour Experiment] As a user, I want to learn what I can do with ""Add-ons""", user story   overlay   tour experiment  as a user  i want to learn what i can do with  add ons ,0,M
35503,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1452645,"Remove ""Open in Sidebar"" feature",remove  open in sidebar  feature,0,M
35695,106074,Helper App Management,helper app management,926877,Windows uninstaller should offer to Reset Firefox,windows uninstaller should offer to reset firefox,0,M
13623,106074,Helper App Management,helper app management,1410828,"Add automated test for ""Hover and `Dismiss` Top Sites tile""",add automated test for  hover and  dismiss  top sites tile ,0,M
22509,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,764763,Sync pinned tabs (app tabs),sync pinned tabs  app tabs ,0,M
38081,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",cookie manager  sort  cookie sites  should sort by domain  tld    left  as labels  not strings  etc  ,1433238,Create dashboard for highlight types,create dashboard for highlight types,0,M
26071,152289,new Filepicker filters for Nvu,new filepicker filters for nvu,1458022,Implement ability to close a selection of tabs,implement ability to close a selection of tabs,0,M
2810,106074,Helper App Management,helper app management,1499885,AsyncTabSwitcher shouldn't fire TabSwitchDone for tab warmups,asynctabswitcher shouldn t fire tabswitchdone for tab warmups,0,M
38949,106074,Helper App Management,helper app management,1544422,CFR Pin Tabs animation wrongly shows the initial frame when it is paused,cfr pin tabs animation wrongly shows the initial frame when it is paused,0,M
28356,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1447952,Use relative time format in the site data manager,use relative time format in the site data manager,0,M
50791,106074,Helper App Management,helper app management,1485423,Add API calls for CFR addon recommendations,add api calls for cfr addon recommendations,0,M
14835,106074,Helper App Management,helper app management,1442203,[meta] Improve cert error pages, meta  improve cert error pages,0,M
48704,191000,[RFE] allow users to override mime type for gz and other suffixes, rfe  allow users to override mime type for gz and other suffixes,1382243,Reduce nesting and ensure proper cleanup of nodes used in photon panelmultiview transition code,reduce nesting and ensure proper cleanup of nodes used in photon panelmultiview transition code,0,M
37565,106074,Helper App Management,helper app management,1435871,Implement a basic tab-modal dialog container for Payment Request,implement a basic tab modal dialog container for payment request,0,M
47383,70501,The middle mouse button should work more consistently (also ctrl+click),the middle mouse button should work more consistently  also ctrl click ,1385453,"Make it possible for async tab switcher to ""warm up"" tabs that are likely to be displayed soon",make it possible for async tab switcher to  warm up  tabs that are likely to be displayed soon,0,M
7621,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,1367450,Captive portal detection shouldn't block first paint,captive portal detection shouldn t block first paint,0,M
4307,106074,Helper App Management,helper app management,1549802,Update card button actions with final finalized urls or actions,update card button actions with final finalized urls or actions,0,M
39767,185618,Offer choice to open natively with Content-Disposition: attachment (View/Show in browser),offer choice to open natively with content disposition  attachment  view show in browser ,1354097,Add footer to overflow panel that opens customize mode,add footer to overflow panel that opens customize mode,0,M
45724,106074,Helper App Management,helper app management,1528115,Remove support for the hidden private window,remove support for the hidden private window,0,M
25110,106074,Helper App Management,helper app management,1479021,Add support for URL-based parameters in provider endpoint,add support for url based parameters in provider endpoint,0,M
35516,297643,Context menu option to open link/image using an external application,context menu option to open link image using an external application,348755,No Context Menu For SVG,no context menu for svg,0,M
799,106074,Helper App Management,helper app management,1546768,Design fixes for Special FXA snippet,design fixes for special fxa snippet,0,M
45547,115041,support %u in mailcap helpers,support  u in mailcap helpers,1472910,"In a multiselect context, close other tabs should close all except the multi-selected tabs.",in a multiselect context  close other tabs should close all except the multi selected tabs ,0,M
14504,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu", meta add applescript support and capabilities to mozilla on mac  e g  applescript osa script menu,1530359,Handle URL redirects for CFR triggers,handle url redirects for cfr triggers,0,M
