,req1Id,req1,req1Product,req1Type,req2Id,req2,req2Product,req2Type,BinaryClass,MultiClass
1517,248715,Avoid shifting the page when toolbars appear or disappear,Firefox,enhancement,250486,"temoprary toolbars (tab bar, find bar) should not shift window contents",Firefox,enhancement,1,similar
1596,261124,"Textbox context menu should have ""Add to Search Bar...""",Firefox,enhancement,236587,Allow bookmark keyword searches from the search bar / integrate toolbar and bookmark keyword searches,Firefox,enhancement,1,requires
1597,261124,"Textbox context menu should have ""Add to Search Bar...""",Firefox,enhancement,233110,automatic capture mechanism for search toolbar?,Firefox,enhancement,1,similar
1598,261124,"Textbox context menu should have ""Add to Search Bar...""",Firefox,enhancement,309862,Combine the search engines and the smart keywords,Firefox,enhancement,1,similar
1599,261124,"Textbox context menu should have ""Add to Search Bar...""",Firefox,enhancement,344538,Search keyword suggestion,Firefox,enhancement,1,similar
1600,261124,"Textbox context menu should have ""Add to Search Bar...""",Firefox,enhancement,351089,"""Add a Keyword for this search"" and ""Manage Search Engines"" integration",Firefox,enhancement,1,similar
1601,261124,"Textbox context menu should have ""Add to Search Bar...""",Firefox,enhancement,461985,"""Add a keyword for this search"" should use search plugins",Firefox,enhancement,1,similar
1606,269696,"Password list is in alpha order, not sorted by domain name",Firefox,enhancement,282220,"Sort domain lists (cookies, exceptions, saved passwords, etc) in reverse DNS order (optionally?)",Firefox,enhancement,1,requires
1622,282220,"Sort domain lists (cookies, exceptions, saved passwords, etc) in reverse DNS order (optionally?)",Firefox,enhancement,269696,"Password list is in alpha order, not sorted by domain name",Firefox,enhancement,1,blocks
1623,282220,"Sort domain lists (cookies, exceptions, saved passwords, etc) in reverse DNS order (optionally?)",Firefox,enhancement,142179,"Cookie Manager: sort ""Cookie Sites"" should sort by Domain (TLD -> left, as labels, not strings, etc.)",Firefox,enhancement,1,blocks
1625,282220,"Sort domain lists (cookies, exceptions, saved passwords, etc) in reverse DNS order (optionally?)",Firefox,enhancement,346127,Sort registered websites in the cookie manager on domain (rather than subdomain),Firefox,enhancement,1,similar
1626,282220,"Sort domain lists (cookies, exceptions, saved passwords, etc) in reverse DNS order (optionally?)",Firefox,enhancement,561290,"alphabetical sorting for cookies, history, and saved passwords does not sort by domain name",Firefox,enhancement,1,similar
1800,335102,make it possible to rename search engine (support search plugin renaming),Firefox,enhancement,353056,can't overwrite default/shipped search plugins/engines,Firefox,enhancement,1,blocks
1801,335102,make it possible to rename search engine (support search plugin renaming),Firefox,enhancement,356726,There is no way to rename a search engine,Firefox,enhancement,1,similar
1814,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches,Firefox,enhancement,342916,Index full text of pages as they are bookmarked,Firefox,enhancement,1,requires
1815,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches,Firefox,enhancement,342917,Reindex full text of bookmarked pages as they are revisited,Firefox,enhancement,1,requires
1816,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches,Firefox,enhancement,342919,Include full-text search results in bookmark/history searches,Firefox,enhancement,1,requires
1817,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches,Firefox,enhancement,342920,Allow users to disable full-text indexing,Firefox,enhancement,1,requires
1821,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches,Firefox,enhancement,286544,bookmark automatic indexing,Firefox,enhancement,1,blocks
1822,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches,Firefox,enhancement,287066,History automatic indexing (full text indexing of pages content),Firefox,enhancement,1,blocks
1823,342913,[meta] Tracking: Add full-text indexing to bookmark and/or history searches,Firefox,enhancement,682099,"In the history panel, text search in the content of pages",Firefox,enhancement,1,similar
1827,347680,Add Safe Mode option to Session Restore dialogue,Firefox,enhancement,349745,"Increase discoverability of ""safe mode""",Firefox,enhancement,1,similar
1830,353056,can't overwrite default/shipped search plugins/engines,Firefox,enhancement,335102,make it possible to rename search engine (support search plugin renaming),Firefox,enhancement,1,requires
1871,369901,"No AppleScript way to get browser window tab URLs, titles",Firefox,enhancement,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu",Firefox,enhancement,1,blocks
1941,400120,"Add statically-updated, per-tab CPU and RAM monitor",Firefox,enhancement,453420,Detailed information about page resource usage (cpu/memory),Firefox,enhancement,1,blocks
1942,400120,"Add statically-updated, per-tab CPU and RAM monitor",Firefox,enhancement,610165,Page info statistic on how much memory a tab is using,Firefox,enhancement,1,similar
1943,400120,"Add statically-updated, per-tab CPU and RAM monitor",Firefox,enhancement,662768,red color when a tab eats the cpu,Firefox,enhancement,1,similar
1944,400120,"Add statically-updated, per-tab CPU and RAM monitor",Firefox,enhancement,685120,improve the about:memory view,Firefox,enhancement,1,similar
1953,412175,Availability to use different column sets for special folders in Library,Firefox,enhancement,399260,"add ""Count"" column to places organizer (for tags)",Firefox,enhancement,1,requires
1954,412175,Availability to use different column sets for special folders in Library,Firefox,enhancement,393512,[meta] Mockup: Places Organizer - Tags for Firefox 3,Firefox,enhancement,1,blocks
1955,412175,Availability to use different column sets for special folders in Library,Firefox,enhancement,1411136,History view shows empty date,Firefox,enhancement,1,similar
1970,423749,Redirection warning should provide ability to permanently allow redirects for a given website,Firefox,enhancement,916532,Add entry for blocking redirection of a page in about:permissions page,Firefox,enhancement,1,requires
1971,423749,Redirection warning should provide ability to permanently allow redirects for a given website,Firefox,enhancement,437738,Firefox should remember redirection/reload permissions in a per-domain basis,Firefox,enhancement,1,similar
1972,423749,Redirection warning should provide ability to permanently allow redirects for a given website,Firefox,enhancement,446114,"Redirection blocking should have an additional ""Always allow this site"" button",Firefox,enhancement,1,similar
1973,423749,Redirection warning should provide ability to permanently allow redirects for a given website,Firefox,enhancement,460106,Whitelist for FF3 build-in redirect/reload blocker.,Firefox,enhancement,1,similar
1974,423749,Redirection warning should provide ability to permanently allow redirects for a given website,Firefox,enhancement,1255063,"""Warn me when web sites try to redirect or reload the page"" option should have more flexibility",Firefox,enhancement,1,similar
1982,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,enhancement,675299,Preliminary implementation of favicon sync,Firefox,enhancement,1,requires
1983,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,enhancement,674238,Simplify favicons INSERT query,Firefox,enhancement,1,requires
1984,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,enhancement,675996,Extend moz_favicons with GUID column to support Sync,Firefox,enhancement,1,requires
1985,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,enhancement,706347,Extend moz_favicons with lastModified column to support Sync,Firefox,enhancement,1,requires
1986,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,enhancement,1269548,[meta] Sync more things,Firefox,enhancement,1,blocks
1987,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,enhancement,530399,[meta] potential data types to sync,Firefox,enhancement,1,blocks
2017,444284,Sync search plugins,Firefox,enhancement,1269548,[meta] Sync more things,Firefox,enhancement,1,blocks
2018,444284,Sync search plugins,Firefox,enhancement,530399,[meta] potential data types to sync,Firefox,enhancement,1,blocks
2019,444284,Sync search plugins,Firefox,enhancement,575065,Mozilla Weave/Firefox Sync must sync the search engines,Firefox,enhancement,1,similar
2021,444284,Sync search plugins,Firefox,enhancement,635596,firefox sync doesn't sync search engines in search bar,Firefox,enhancement,1,similar
2022,444284,Sync search plugins,Firefox,enhancement,1174413,"[enhancement] Sync should include ""Search Settings""",Firefox,enhancement,1,similar
2023,444284,Sync search plugins,Firefox,enhancement,1431317,"Firefox Sync doesn't sync search engines in ""One-Click Search Engines"" in ""about:preferences#search""",Firefox,enhancement,1,similar
2024,444284,Sync search plugins,Firefox,enhancement,1500681,I need the ability to sync search engines with Firefox Sync,Firefox,enhancement,1,similar
2026,445000,No tooltip for folders on bookmark toolbar,Firefox,enhancement,237592,Bookmarks/RSS items should always show tooltip when hovering with mouse,Firefox,enhancement,1,requires
2122,490374,"Input (type=""button"") and buttons with a background image should have a context menu",Firefox,enhancement,287048,"""View background image"" menu item missing when element is a link",Firefox,enhancement,1,blocks
2241,543390,MSI Installer should have a real UI,Firefox,enhancement,572207,Need RTL versions of WiX dialogs,Firefox,enhancement,1,requires
2242,543390,MSI Installer should have a real UI,Firefox,enhancement,231062,Provide Firefox MSI package,Firefox,enhancement,1,blocks
2284,565621,Let _me_ choose whether to open a link in current or new tab (open in same tab despite window.open() / target=_blank),Firefox,enhancement,678807,"Provide option for ignoring »target=""_blank""«",Firefox,enhancement,1,requires
2328,574545,Page Info > Media should preview object tags,Firefox,enhancement,453703,Page Info > Media tab doesn't preview SVG images,Firefox,enhancement,1,blocks
2331,591957,Add ability to copy URLs of to-be-restored pages in Restore Session,Firefox,enhancement,590448,Add context menu to about:sessionrestore items,Firefox,enhancement,1,requires
2403,618791,Add a close button to the tab overflow menu,Firefox,enhancement,939457,Add a scroll bar on the right of the tabs' list,Firefox,enhancement,1,blocks
2404,618791,Add a close button to the tab overflow menu,Firefox,enhancement,625894,"Enhancement - Enable a Right-Click ""Close Tab"" Option in ""List All Tabs""",Firefox,enhancement,1,similar
2405,618791,Add a close button to the tab overflow menu,Firefox,enhancement,771919,"Add the ability to close tabs from the ""list all tabs menu""",Firefox,enhancement,1,similar
2406,618791,Add a close button to the tab overflow menu,Firefox,enhancement,1550578,Add close buttons (x) to the overflow tab menu,Firefox,enhancement,1,similar
2605,667357,Add an item in preferences window to allow user to decide to prevent autoplay for video/audio content,Firefox,enhancement,661822,"Include checkboxes for ""enable animations (gif apng and smil)"" and ""enable audio"" in about:permissions when ""all sites"" is selected",Firefox,enhancement,1,blocks
2608,670928,HTML5 element and WAI-ARIA landmark roles easily navigable in Firefox,Firefox,enhancement,1350537,Add a button to display the Table of contents of the page,Firefox,enhancement,1,similar
2618,674371,Support double-tap to zoom in on a section on macOS,Firefox,enhancement,1505469,Stop resetting the zoom when attempting to use the Smart Zoom feature (double-tap) in macOS,Firefox,enhancement,1,blocks
2622,675299,Preliminary implementation of favicon sync,Firefox,enhancement,428378,"Synced tabs, bookmarks, and history entries don't have a favicon until the user re-visits that page again",Firefox,enhancement,1,blocks
2629,682414,"Provide a complete, polished, unencumbered default unofficial branding package",Firefox,enhancement,682415,"Select an appropriate, unencumbered unofficial brand name",Firefox,enhancement,1,requires
2633,684548,"Allow restoring tabs/windows one by one to solve various issues (crash, overload, portal login ...)",Firefox,enhancement,590448,Add context menu to about:sessionrestore items,Firefox,enhancement,1,requires
2634,684548,"Allow restoring tabs/windows one by one to solve various issues (crash, overload, portal login ...)",Firefox,enhancement,648683,Expose tabs on-demand preference,Firefox,enhancement,1,requires
2922,728046,Create per-tab volume controls in Firefox,Firefox,enhancement,745484,[SGST] Allow users to mute tabs.,Firefox,enhancement,1,similar
3161,853678,"Create an easy way to ""Undo"" a Reset",Firefox,enhancement,851364,[meta] Reset Firefox to its default state,Firefox,enhancement,1,blocks
3168,869543,Move findbar to the top,Firefox,enhancement,248715,Avoid shifting the page when toolbars appear or disappear,Firefox,enhancement,1,requires
3173,870659,"Ongoing/active/current downloads should always appear first in the download manager, and finished/completed/done below",Firefox,enhancement,991121,[UX] Design - Ongoing downloads should always appear first in the download manager,Firefox,enhancement,1,requires
3174,870659,"Ongoing/active/current downloads should always appear first in the download manager, and finished/completed/done below",Firefox,enhancement,963745,Downloads panel improvements,Firefox,enhancement,1,blocks
3304,891095,[UX] Implement a nicer replacement for the Reset Firefox dialog,Firefox,enhancement,883955,[Reset Firefox] Select which data to preserve/recover (advanced options),Firefox,enhancement,1,requires
3305,891095,[UX] Implement a nicer replacement for the Reset Firefox dialog,Firefox,enhancement,851364,[meta] Reset Firefox to its default state,Firefox,enhancement,1,blocks
3431,939528,Browse windows and tabs in AppleScript,Firefox,enhancement,125419,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu",Firefox,enhancement,1,blocks
3493,963745,Downloads panel improvements,Firefox,enhancement,870659,"Ongoing/active/current downloads should always appear first in the download manager, and finished/completed/done below",Firefox,enhancement,1,requires
3494,963745,Downloads panel improvements,Firefox,enhancement,822763,[UX] Implement new action buttons in the Library/Content download view,Firefox,enhancement,1,requires
3816,991121,[UX] Design - Ongoing downloads should always appear first in the download manager,Firefox,enhancement,870659,"Ongoing/active/current downloads should always appear first in the download manager, and finished/completed/done below",Firefox,enhancement,1,blocks
3942,1017919,Reset Firefox: Preserve extensions but disable all of them,Firefox,enhancement,851364,[meta] Reset Firefox to its default state,Firefox,enhancement,1,blocks
3943,1017919,Reset Firefox: Preserve extensions but disable all of them,Firefox,enhancement,1351641,Auto Refresh during installing firefox if time since last used is more than the threshold time period,Firefox,enhancement,1,blocks
3944,1017919,Reset Firefox: Preserve extensions but disable all of them,Firefox,enhancement,1351631,Implement the Add-on migration for the OnBoarding,Firefox,enhancement,1,similar
3973,1037767,Use straight nsIChannel instead of nsIIncrementalDownload for GMPInstallManager,Firefox,enhancement,1039490,Get rid of on the main thread IO from GMPInstallManager when updates are being installed,Firefox,enhancement,1,requires
3974,1037767,Use straight nsIChannel instead of nsIIncrementalDownload for GMPInstallManager,Firefox,enhancement,1039555,factor out common URL var resolution functions for app updates and gmp update/installs,Firefox,enhancement,1,requires
3975,1037767,Use straight nsIChannel instead of nsIIncrementalDownload for GMPInstallManager,Firefox,enhancement,1009816,"Firefox desktop: openh264 updates: check, download, install",Firefox,enhancement,1,requires
3976,1037767,Use straight nsIChannel instead of nsIIncrementalDownload for GMPInstallManager,Firefox,enhancement,1039839,Use Task.jsm more inside GMPInstallManager,Firefox,enhancement,1,requires
3977,1037767,Use straight nsIChannel instead of nsIIncrementalDownload for GMPInstallManager,Firefox,enhancement,1040060,Move GMPInstallManager front end code from delayed-startup+delay to final-ui-startup+delay,Firefox,enhancement,1,requires
3982,1039490,Get rid of on the main thread IO from GMPInstallManager when updates are being installed,Firefox,enhancement,1039555,factor out common URL var resolution functions for app updates and gmp update/installs,Firefox,enhancement,1,requires
3983,1039490,Get rid of on the main thread IO from GMPInstallManager when updates are being installed,Firefox,enhancement,1009816,"Firefox desktop: openh264 updates: check, download, install",Firefox,enhancement,1,requires
3984,1039490,Get rid of on the main thread IO from GMPInstallManager when updates are being installed,Firefox,enhancement,1039839,Use Task.jsm more inside GMPInstallManager,Firefox,enhancement,1,requires
3985,1039490,Get rid of on the main thread IO from GMPInstallManager when updates are being installed,Firefox,enhancement,1040060,Move GMPInstallManager front end code from delayed-startup+delay to final-ui-startup+delay,Firefox,enhancement,1,requires
3986,1039490,Get rid of on the main thread IO from GMPInstallManager when updates are being installed,Firefox,enhancement,1037767,Use straight nsIChannel instead of nsIIncrementalDownload for GMPInstallManager,Firefox,enhancement,1,blocks
3987,1039555,factor out common URL var resolution functions for app updates and gmp update/installs,Firefox,enhancement,1009816,"Firefox desktop: openh264 updates: check, download, install",Firefox,enhancement,1,requires
3988,1039555,factor out common URL var resolution functions for app updates and gmp update/installs,Firefox,enhancement,1039839,Use Task.jsm more inside GMPInstallManager,Firefox,enhancement,1,requires
3989,1039555,factor out common URL var resolution functions for app updates and gmp update/installs,Firefox,enhancement,1040060,Move GMPInstallManager front end code from delayed-startup+delay to final-ui-startup+delay,Firefox,enhancement,1,requires
3990,1039555,factor out common URL var resolution functions for app updates and gmp update/installs,Firefox,enhancement,1037767,Use straight nsIChannel instead of nsIIncrementalDownload for GMPInstallManager,Firefox,enhancement,1,blocks
3991,1039555,factor out common URL var resolution functions for app updates and gmp update/installs,Firefox,enhancement,1039490,Get rid of on the main thread IO from GMPInstallManager when updates are being installed,Firefox,enhancement,1,blocks
4570,1194739,Show http/https indicator for each item in downloads window,Firefox,enhancement,1003738,[UX] Show http/https indicator for each item in downloads window,Firefox,enhancement,1,requires
4872,1235179,Add ability to save inline/embedded SVG as an image,Firefox,enhancement,348755,No Context Menu For SVG,Firefox,enhancement,1,requires
4874,1235179,Add ability to save inline/embedded SVG as an image,Firefox,enhancement,875715,"Add a ""Save Image"" item in the context menu for standalone SVG",Firefox,enhancement,1,blocks
6208,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1344715,Don't collect sessionstore data during a restore operation,Firefox,enhancement,1,requires
6209,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1348805,Session restore observes browser:purge-domain-data for every tab and then re-collects data for every tab indiscriminately,Firefox,enhancement,1,requires
6210,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1350569,Avoid full session history collect for DOMTitleChanged/OnHistoryReload,Firefox,enhancement,1,requires
6211,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1353586,_saveStateAsync shouldn't pile up on existing jank,Firefox,enhancement,1,requires
6212,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1374354,SessionRestore slows down page loading of a new tab,Firefox,enhancement,1,requires
6213,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1395066,Breaking tab data collection into chunks,Firefox,enhancement,1,requires
6216,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1482682,[tracking] Sessionstore development related to session managers,Firefox,enhancement,1,requires
6217,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1505572,get*State should return an object instead of a serialized string,Firefox,enhancement,1,requires
6218,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1564412,[META] Convert contentSessionStore to C++,Firefox,enhancement,1,requires
6219,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,906076,[meta] Virtual tabs - lazily create linkedBrowser and other dependent elements for tabbrowser tabs to improve startup performance,Firefox,enhancement,1,requires
6220,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1348816,Session store updates (inefficiently) - 1 observer per tab - when users select a different page style,Firefox,enhancement,1,requires
6221,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1356605,SessionCookies.jsm's initialization takes a long time on the ui thread,Firefox,enhancement,1,requires
6222,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1365970,Move sessionrestore data collector timer in the content process to idle dispatch,Firefox,enhancement,1,requires
6223,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1474131,Lazily load ContentRestore.jsm,Firefox,enhancement,1,requires
6224,1330635,[meta] Sessionstore performance tracking,Firefox,enhancement,1474139,Move content-sessionStore.js to a JSM,Firefox,enhancement,1,requires
6426,1344302,[meta] Photon - Make closing tabs fast,Firefox,enhancement,1355456,Investigate preparing the next tab on mousedown on the tab close button,Firefox,enhancement,1,requires
6427,1344302,[meta] Photon - Make closing tabs fast,Firefox,enhancement,1345315,_handleTabTelemetryEnd can be too expensive,Firefox,enhancement,1,requires
6428,1344302,[meta] Photon - Make closing tabs fast,Firefox,enhancement,1354782,Avoid layout flush and invalidation loop in _positionPinnedTabs,Firefox,enhancement,1,requires
6429,1344302,[meta] Photon - Make closing tabs fast,Firefox,enhancement,1354789,Cache layout information needed in _positionPinnedTabs,Firefox,enhancement,1,requires
6430,1344302,[meta] Photon - Make closing tabs fast,Firefox,enhancement,1363755,[meta] Photon - Tab interactions should be immediate,Firefox,enhancement,1,blocks
6438,1345133,"Pressing "":"" on an autofilled domain should directly move to editing the port number",Firefox,enhancement,1425024,[meta] Awesomebar papercuts,Firefox,enhancement,1,blocks
6455,1346488,[meta] Photon UI Refresh,Firefox,enhancement,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1,requires
6456,1346488,[meta] Photon UI Refresh,Firefox,enhancement,1349210,[meta] Photon - structural changes to menus/toolbars/panels,Firefox,enhancement,1,requires
6457,1346488,[meta] Photon UI Refresh,Firefox,enhancement,1349422,[meta] Photon - Improvements to First-Run Experience,Firefox,enhancement,1,requires
6458,1346488,[meta] Photon UI Refresh,Firefox,enhancement,1349423,[meta] Photon - Firefox Animation Improvements,Firefox,enhancement,1,requires
6459,1346488,[meta] Photon UI Refresh,Firefox,enhancement,1356269,[meta] Photon - Preference,Firefox,enhancement,1,requires
6460,1346488,[meta] Photon UI Refresh,Firefox,enhancement,1363750,[meta] Photon - Improve perceived UI performance in Firefox,Firefox,enhancement,1,requires
6674,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1353725,[meta] displaying the awesomebar panel could be smoother,Firefox,enhancement,1,requires
6675,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1355956,[meta] Photon - Make Firefox start more quickly,Firefox,enhancement,1,requires
6676,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1361115,1.42ms uninterruptible reflow (sync layout flush) at onResize in tabprompts.jsm,Firefox,enhancement,1,requires
6677,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1361347,Can refreshIdentityBlock be optimized?,Firefox,enhancement,1,requires
6679,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1387045,Suppress window animation for profile manager,Firefox,enhancement,1,requires
6680,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1482654,1.43ms uninterruptible reflow at onxblunderflow@chrome://browser/content/tabbrowser.xml:47:11,Firefox,enhancement,1,requires
6681,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1482734,2.09ms uninterruptible reflow at onxbldragover@chrome://browser/content/tabbrowser.xml:1391:9,Firefox,enhancement,1,requires
6682,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,906076,[meta] Virtual tabs - lazily create linkedBrowser and other dependent elements for tabbrowser tabs to improve startup performance,Firefox,enhancement,1,requires
6683,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1349742,Investigate UITour's performance impact during window opening and closing,Firefox,enhancement,1,requires
6684,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1351413,Disable animations/transitions based on Windows Experience Index,Firefox,enhancement,1,requires
6687,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1354781,Filter tab strip scrollbox overflow and underflow events more accurately,Firefox,enhancement,1,requires
6688,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1354782,Avoid layout flush and invalidation loop in _positionPinnedTabs,Firefox,enhancement,1,requires
6689,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1354789,Cache layout information needed in _positionPinnedTabs,Firefox,enhancement,1,requires
6691,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1355056,Replace (function(args) { /* do stuff using this */ }).bind(this) with arrow functions,Firefox,enhancement,1,requires
6692,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1356587,Updating commands takes a lot of CPU time,Firefox,enhancement,1,requires
6693,1348289,[meta] Photon - Improve perceived UI performance in Firefox (bugs for triage),Firefox,enhancement,1356593,nsISearchEngine.speculativeConnect and nsISearchEngine.getSubmission are slow,Firefox,enhancement,1,requires
